name,price_eur,price_fcfa,short_description,description,category,sub_category,sub_sub_category,tags,url_product,list_image_product_url
Ensemble “Mélodie” en tissu africain bazin,130.0 €,85274 FCFA,"Ensemble 2 pièces composé d’un bustier habillé et d’une jupe portefeuille à bouton, en bazin teints à la main. Chaque pièce peut se porter avec d’autres vêtements de votre garde robe.
Vous pouvez nous laisser un message pour choisir votre couleur préférée parmi nos tissus teintés bazins ou calicots .","Choisissez votre couleur favorite et nous ferrons tout pour trouver un bazin qui vous corresponde.
Le bazin est un tissu africain en coton damassé de couleur unie. Il est teint à la main en Afrique de l’Ouest par un procédé traditionnel et artisanal de qualité. Chaque pièce est unique. Lavage à 30°. Plus on le lave, plus il devient doux.
Venez visiter notre boutique au 108 rue st Maur Paris 11ème pour découvrir, toucher et vous imprégner d’un large choix de nos créations.",Mode,Femme,Ensembles,bustier habillé | ensemble | jupe africaine | tissu africain | tissu coton,https://www.africouleur.com/shop/mode-africaine/femme/ensembles/ensemble-melodie-tissu-africain-bazin/,https://www.africouleur.com/wp-content/uploads/2017/12/Bustier-bijoux-os-et-corne-510x765.jpg | https://www.africouleur.com/wp-content/uploads/2017/12/Ensemble-bustier-et-juper-bazin-chocolat-ivoire-510x765.jpg | https://www.africouleur.com/wp-content/uploads/2017/12/Ensemble-bustier-et-jupe-bazin-chocolat-ivoire-510x765.jpg | https://www.africouleur.com/wp-content/uploads/2017/12/Bustier-et-bijoux-os-et-cornes-510x765.jpg | https://www.africouleur.com/wp-content/uploads/2017/12/Collection-2018-4-510x765.jpg | https://www.africouleur.com/wp-content/uploads/2017/12/Collection-2018-6-510x765.jpg
Ensemble « Bayefall » en tissu africain bazin,240.0 €,157430 FCFA,"Ensemble 4 pièces composé d’une jupe longue Bayefall en patchworks de tissus africains, un top avec col en bazin uni teint à la main, une ceinture afin de mettre en valeur votre taille, et une jolie étole pour accompagner le tout.
Blanc ou couleur, cet ensemble sera peut-être votre future robe de mariage !
Vous pouvez nous laisser un message pour choisir votre couleur préférée parmi nos tissus teintés bazins ou calicots .","Notre jupe Bayefall longue et élégante est créée en patchwork de bazin. Elle est cintrée par un élastique, et accompagnée d’une ceinture.
Choisissez votre couleur favorite et nous ferrons tout pour trouver un bazin qui vous corresponde.
Chaque pièce peux se porter avec d’autres vêtements de votre garde robe.
Le bazin est un tissu africain en coton damassé de couleur unie. Il est teint à la main en Afrique de l’Ouest par un procédé traditionnel et artisanal de qualité. Chaque pièce est unique. Lavage à 30°. Plus on le lave, plus il devient doux.
Venez visiter notre boutique au 108 rue st Maur Paris 11ème pour découvrir, toucher et vous imprégner d’un large choix de nos créations.",Mode,Femme,Ensembles,jupe africaine | jupe coton | jupe longue | mariage | patchwork | robe de cérémonie | robe de mariée,https://www.africouleur.com/shop/mode-africaine/femme/ensembles/ensemble-bayefall-tissu-africain-bazin/,https://www.africouleur.com/wp-content/uploads/2017/12/Ensemble-BaÏfal-3-510x765.jpg | https://www.africouleur.com/wp-content/uploads/2017/12/Ensemble-BaÏfal-2-510x765.jpg | https://www.africouleur.com/wp-content/uploads/2017/12/Ensemble-BaÏfal-4-510x765.jpg | https://www.africouleur.com/wp-content/uploads/2017/12/Esemble-baÏfal-565x848.jpg | https://www.africouleur.com/wp-content/uploads/2017/12/Ensemble-BaÏfal-510x765.jpg | https://www.africouleur.com/wp-content/uploads/2017/12/Ensemble-BaÏfal-5-510x765.jpg
Ensemble Fez B.B. en bazin africain,95.0 €,62316 FCFA,Jolis petit top et short africain assortis en tissu bazin damassé et teint à la main.,"Choisissez votre taille et votre couleur favorite et nous ferrons tout pour trouver un bazin qui vous corresponde.
Les deux pièces peuvent se porter avec d’autres vêtements de votre garde robe.
Le bazin est un tissu en coton damassé de couleur unie. Il est teint à la main en Afrique de l’Ouest par un procédé traditionnel et artisanal de qualité. Chaque pièce est unique.
Lavage à 30°. Plus on le lave, plus il devient doux.
Venez visiter notre boutique au 108 rue st Maur Paris 11ème pour découvrir, toucher et vous imprégner d’un large choix de nos créations.",Mode,Femme,Ensembles,bazin | ensemble | mode africaine femme | short | vêtement africain,https://www.africouleur.com/shop/mode-africaine/femme/ensembles/ensemble-fez-b-b-en-bazin-africain/,https://www.africouleur.com/wp-content/uploads/2015/05/MG_9269-510x765.jpg | https://www.africouleur.com/wp-content/uploads/2015/05/MG_9277-510x765.jpg | https://www.africouleur.com/wp-content/uploads/2015/05/MG_9383-510x765.jpg | https://www.africouleur.com/wp-content/uploads/2015/05/MG_9362-510x765.jpg | https://www.africouleur.com/wp-content/uploads/2015/05/MG_9373-510x765.jpg
Ensemble « Zakia B.B. » en bazin africain,145.0 €,95114 FCFA,"Ensemble jupe africaine Zakia longue et top en bazin riche teint à la main. La jupe est réversible, modulable et de taille unique jusqu’au 44, ceinturée au dos, afin de mettre en valeur votre taille.","Notre jupe Zakia longue et élégante en bazin épouse les formes et s’enfile très rapidement grâce à sa ceinture au dos que vous nouerez avec ses deux attaches. Et puisqu’elle est réversible, vous pourrez aisément la porter côté imprimé et côté uni.
Choisissez votre taille et votre couleur favorite et nous ferrons tout pour trouver un bazin qui vous corresponde.
Les deux pièces peuvent se porter avec d’autres vêtements de votre garde robe.
Le bazin est un tissu en coton damassé de couleur unie. Il est teint à la main en Afrique de l’Ouest par un procédé traditionnel et artisanal de qualité. Chaque pièce est unique.
Lavage à 30°. Plus on le lave, plus il devient doux.
Venez visiter notre boutique au 108 rue st Maur Paris 11ème pour découvrir, toucher et vous imprégner d’un large choix de nos créations.",Mode,Femme,Ensembles,bazin | ensemble | jupe africaine | mode africaine femme | top africain | vêtement africain,https://www.africouleur.com/shop/mode-africaine/femme/ensembles/ensemble-zakia-b-b-en-bazin-africain/,https://www.africouleur.com/wp-content/uploads/2015/05/MG_9500-510x765.jpg | https://www.africouleur.com/wp-content/uploads/2015/05/MG_9485-510x765.jpg | https://www.africouleur.com/wp-content/uploads/2015/05/MG_9495-510x765.jpg | https://www.africouleur.com/wp-content/uploads/2015/05/MG_9511-510x765.jpg
Ensemble « Victoire Maé » en bazin africain,145.0 €,95114 FCFA,"Ensemble « Victoire Maé » composé d’une tunique « Victoire » et d’une jupe portefeuille « Maé » froncée et ceinturée à la taille, en tissu bazin damassé et teint à la main.","La jupe peut se porter en taille haute ou basse.
Les deux pièces peuvent se porter avec des vêtements de votre garde robe.
Merci de préciser vos couleurs préférées et nous ferrons tout notre possible pour votre plaisir.
Le bazin est un tissu en coton damassé de couleur unie. Il est teint à la main en Afrique de l’Ouest par un procédé traditionnel et artisanal de qualité. Chaque pièce est unique.
Lavage à 30°. Plus on le lave, plus il devient doux.
Venez visiter notre boutique au 108 rue st Maur Paris 11ème pour découvrir, toucher et vous imprégner d’un large choix de nos créations.",Mode,Femme,Ensembles,bazin | ensemble | mode africaine femme | vêtement africain,https://www.africouleur.com/shop/mode-africaine/femme/ensembles/ensemble-victoire-mae-en-bazin-africain/,https://www.africouleur.com/wp-content/uploads/2015/05/MG_9650-510x765.jpg | https://www.africouleur.com/wp-content/uploads/2015/05/MG_9642-510x765.jpg | https://www.africouleur.com/wp-content/uploads/2015/05/MG_9659-510x765.jpg
Ensemble « Paula Fez » en bazin africain,135.0 €,88554 FCFA,"Ensemble « Paula Fez » composé d’une robe à col tombant, cintrée à la taille, évasée, accompagnée d’un petit short en bazin damassé teint à la main, idéal de jour comme de nuit au rythme des saisons.","Les deux pièces peuvent se porter avec d’autres vêtements de votre garde robe.
Merci de préciser vos couleurs préférées et nous ferrons tout notre possible pour votre plaisir.
Le bazin est un tissu en coton damassé de couleur unie. Il est teint à la main en Afrique de l’Ouest par un procédé traditionnel et artisanal de qualité. Chaque pièce est unique.
Lavage à 30°. Plus on le lave, plus il devient doux.
Venez visiter notre boutique au 108 rue st Maur Paris 11ème pour découvrir, toucher et vous imprégner d’un large choix de nos créations.",Mode,Femme,Ensembles,bazin | ensemble | mode africaine femme | robe africaine | vêtement africain,https://www.africouleur.com/shop/mode-africaine/femme/ensembles/ensemble-paula-fez-en-bazin-africain/,https://www.africouleur.com/wp-content/uploads/2015/05/MG_9293-510x765.jpg | https://www.africouleur.com/wp-content/uploads/2015/05/MG_9289-510x765.jpg | https://www.africouleur.com/wp-content/uploads/2015/05/MG_9283-510x765.jpg | https://www.africouleur.com/wp-content/uploads/2015/11/defile-mode-africaine-2014-backstage-01-510x767.jpg
Ensemble « B.B. Maé » en bazin africain,110.0 €,72155 FCFA,"Ensemble composé d’un corsage aux manches trois-quart, et d’une mini-jupe portefeuille en tissu africain bazin. De taille unique il conviendra à toutes les silhouettes du 36 au 52.","Choisissez votre taille et votre couleur favorite et nous ferrons tout pour trouver un bazin qui vous corresponde.
Les deux pièces peuvent se porter avec d’autres vêtements de votre garde robe.
Le bazin est un tissu en coton damassé de couleur unie. Il est teint à la main en Afrique de l’Ouest par un procédé traditionnel et artisanal de qualité. Chaque pièce est unique.
Lavage à 30°. Plus on le lave, plus il devient doux.
Venez visiter notre boutique au 108 rue st Maur Paris 11ème pour découvrir, toucher et vous imprégner d’un large choix de nos créations.",Mode,Femme,Ensembles,bazin | corsage | ensemble | jupe africaine | mode africaine femme | vêtement africain,https://www.africouleur.com/shop/mode-africaine/femme/ensembles/ensemble-b-b-mae-en-bazin-africain/,https://www.africouleur.com/wp-content/uploads/2015/05/MG_9252-510x765.jpg | https://www.africouleur.com/wp-content/uploads/2015/05/MG_9260-510x765.jpg
Ensemble « M.moi Fez » en bazin africain,100.0 €,65596 FCFA,"Ensemble composé d’un short à zip « Fez » et d’un corsage « M.MOI » en bazin, qui se porte pour toutes les occasions. Le short peut se porter en hiver avec des bottes et des collants.","Choisissez votre taille et votre couleur favorite et nous ferrons tout pour trouver un bazin qui vous corresponde.
Les deux pièces peuvent se porter avec d’autres vêtements de votre garde robe.
Le bazin est un tissu en coton damassé de couleur unie. Il est teint à la main en Afrique de l’Ouest par un procédé traditionnel et artisanal de qualité. Chaque pièce est unique.
Lavage à 30°. Plus on le lave, plus il devient doux.
Venez visiter notre boutique au 108 rue st Maur Paris 11ème pour découvrir, toucher et vous imprégner d’un large choix de nos créations.",Mode,Femme,Ensembles,basin | bazin | ensemble | mode africaine femme | vêtement africain,https://www.africouleur.com/shop/mode-africaine/femme/ensembles/ensemble-m-moi-fez-en-bazin-africain/,https://www.africouleur.com/wp-content/uploads/2015/05/MG_9228-510x765.jpg | https://www.africouleur.com/wp-content/uploads/2015/05/MG_9205-510x765.jpg | https://www.africouleur.com/wp-content/uploads/2015/05/MG_9208-510x765.jpg | https://www.africouleur.com/wp-content/uploads/2015/05/MG_9235-510x765.jpg
Ensemble « Awa Maé » longue en bazin africain,135.0 €,88554 FCFA,"Ensemble composé d’une jupe portefeuille longue « Maé » froncée et nouée à la taille, avec sa chemisette « Awa » à boutons et petit col.","Choisissez votre taille et votre couleur favorite et nous ferrons tout pour trouver un bazin qui vous corresponde.
Les deux pièces peuvent se porter avec d’autres vêtements de votre garde robe.
Le bazin est un tissu en coton damassé de couleur unie. Il est teint à la main en Afrique de l’Ouest par un procédé traditionnel et artisanal de qualité. Chaque pièce est unique.
Lavage à 30°. Plus on le lave, plus il devient doux.
Venez visiter notre boutique au 108 rue st Maur Paris 11ème pour découvrir, toucher et vous imprégner d’un large choix de nos créations.",Mode,Femme,Ensembles,basin | ensemble | mode africaine femme | robe africaine | vêtement africain,https://www.africouleur.com/shop/mode-africaine/femme/ensembles/ensemble-awa-mae-longue-en-bazin-africain/,https://www.africouleur.com/wp-content/uploads/2015/04/MG_9180-510x765.jpg | https://www.africouleur.com/wp-content/uploads/2015/04/MG_9184-510x765.jpg | https://www.africouleur.com/wp-content/uploads/2015/05/MG_9205-510x765.jpg | https://www.africouleur.com/wp-content/uploads/2015/05/MG_9208-510x765.jpg
Ensemble « Maé B.B. » longue unie en bazin africain,125.0 €,81995 FCFA,"Tenue de soirée ou de cérémonie , composée d’une jupe portefeuille « Maé » longue en bazin africain damassé uni et d’un corsage « B.B. » à manches trois quart.
Convient à toutes les femmes du 36 au 52.","Choisissez votre taille et votre couleur favorite et nous ferrons tout pour trouver un bazin qui vous corresponde.
Les deux pièces peuvent se porter avec d’autres vêtements de votre garde robe.
Le bazin est un tissu en coton damassé de couleur unie. Il est teint à la main en Afrique de l’Ouest par un procédé traditionnel et artisanal de qualité. Chaque pièce est unique.
Lavage à 30°. Plus on le lave, plus il devient doux.
Venez visiter notre boutique au 108 rue st Maur Paris 11ème pour découvrir, toucher et vous imprégner d’un large choix de nos créations.",Mode,Femme,Ensembles,bazin | jupe africaine | mode africaine femme | rouge | top | veste | vêtement africain,https://www.africouleur.com/shop/mode-africaine/femme/ensembles/ensemble-mae-b-b-longue-unie-en-bazin-africain/,https://www.africouleur.com/wp-content/uploads/2015/04/MG_9189-510x765.jpg | https://www.africouleur.com/wp-content/uploads/2015/04/MG_9194-510x765.jpg
