"ID","Type de requête","Requête client","Catégorie","Index","Produit 1","Prix 1","Justification 1","Produit 2","Prix 2","Justification 2","Produit 3","Prix 3","Justification 3","Audio_Français","Audio_Yoruba","Transc_origin"
"1","Recherche directe","Je cherche un pagne wax vous en avez ?","Tissus","723, 728, 726","Tissu africain : jaune et turquoise au motif les arts taxi brousse","10.0 €","Pagne wax authentique","Tissu wax bleu","19.0 €","Pagne wax bleu","Tissu africain : wax jaune, rose et marron motif style kenté","19.0 €","Wax motif style kenté","./audio/Voix_001_recherche_direct1.m4a","","Mo ń wá aṣọ wax ṣé ẹ ní?"
"2","Recherche directe","Je voudrais voir vos colliers en perles africaines.","Bijoux","309, 312, 316","Collier ethnique en cauris « Magie du cauris »","45.0 €","Collier cauris ethnique","Collier africain du Mali « Sublime »","75.0 €","Collier Mali Sublime","Collier africain en pâte de verre et bronze «Nebètou»","75.0 €","Collier pâte de verre et bronze","./audio/Voix_001_recherche_direct2.m4a","","Mo fẹ́ wo àwọn ẹ̀gba ọrun ilẹkẹ̀ Afríkà."
"3","Recherche directe","Avez-vous des bogolans en stock ?","Tissus","680, 681, 685","Bogolan africain du Mali ocre rouge, brun et écru","130.0 €","Bogolan ocre rouge du Mali","Bogolan africain du Mali noir et marron","130.0 €","Bogolan noir et marron du Mali","Bogolan africain noir et blanc du Mali","130.0 €","Bogolan noir et blanc du Mali","./audio/Voix_001_recherche_direct3.m4a","","Ṣé ẹ ní aṣọ bogolan lọ́wọ́?"
"4","Recherche directe","Je recherche un sac à main en tissu africain.","Bagagerie","106, 108, 105","Sac à main en tissu africain « Delphine »","20.0 €","Sac à main tissu africain Delphine","Sac à main Grey bazin","28.0 €","Sac à main Grey bazin","Sac en tissu africain « Quevoulévous «","28.0 €","Sac en tissu africain polyvalent","./audio/Voix_001_recherche_direct4.m4a","","Mo ń wá àpò ọwọ́ tí a fi aṣọ Afríkà ṣe."
"5","Recherche directe","Vous avez des masques africains décoratifs ?","Art africain","245, 247, 242","Petit masque « passeport » Dan de Côte d’Ivoire au bec","115.0 €","Masque passeport Dan – pièce artisanale","Petit masque « passeport » Dan de Côte d’Ivoire","115.0 €","Masque passeport Dan variante","Masque africain Baoulé de Côte d’Ivoire","320.0 €","Masque Baoulé de Côte d'Ivoire","./audio/Voix_001_recherche_direct5.m4a","","Ṣé ẹ ní iboju Afríkà fún ọṣọ́?"
"6","Recherche directe","Je cherche une robe africaine pour femme.","Mode femme","11, 14, 17","Robe en tissu africain «Moshi longue»","99.0 €","Robe Moshi longue en tissu africain","Robe longue en tissu africain « Grace »","125.0 €","Robe longue Grace tissu africain","Robe africaine « Coco » en bazin","105.0 €","Robe africaine Coco en bazin","","","Mo ń wá aṣọ obìnrin Afríkà."
"7","Recherche directe","Est-ce que vous vendez du tissu bazin teinté ?","Tissus","595, 596, 612","Tissu africain en bazin violet, jaune, orange et mauve, motif Boubou","65.0 €","Bazin teinté main violet/jaune/orange","Tissu teint à la main caramel, rouge et vert, motif brume","65.0 €","Bazin teinté main caramel/rouge/vert","Tissu africain en bazin bleu lapis, jaune et orange, motif tamberma","65.0 €","Bazin teinté main bleu lapis","","","Ṣé ẹ ń tà aṣọ bazin tí a ti fà?"
"8","Recherche directe","Je voudrais un bracelet touareg c'est possible ?","Bijoux","326, 331, 330","Bracelet touareg unisexe : Couple","89.0 €","Bracelet touareg Couple","Bracelet ethniques Touareg médaillon en argent et cuir","55.0 €","Bracelet touareg argent et cuir","Bracelet Touareg ethnique Manchette en argent gravé","185.0 €","Bracelet touareg manchette argent gravé","","","Mo fẹ́ gba àwọ̀n ọwọ́ Touareg ṣé ó ṣeé ṣe?"
"9","Recherche directe","Je cherche une housse de couette en wax.","Déco","733, 732, 734","Housse de couette en tissu africain wax","115.0 €","Housse de couette wax africain","Housse de coussin en tissu africain Wax","15.0 €","Housse de coussin wax africain","Taie d’oreiller en tissu africain wax","16.0 €","Taie d'oreiller wax africaine","","","Mo ń wá aṣọ ibora ibusun wax."
"10","Recherche directe","Vous avez des dashikis pour homme ?","Mode homme","64, 62, 71","Chemise africaine traditionnelle « Dashiki »","38.0 €","Chemise Dashiki africaine homme","Boubou « Indigo-kola » tunique en tissu africain","55.0 €","Boubou tunique Indigo-kola","Boubou « Ebalé » tunique en tissu africain calicot","80.0 €","Boubou Ebalé tunique calicot","","","Ṣé ẹ ní dashiki fún ọkùnrin?"
